Log file created at 2014-05-05-21:11:15 GMT
1399324284.933463: Logging started
1399324284.938071: Bump switch monitoring active
1399324284.942343: executed: pan_15500, tilt_14500
1399324284.967093: executed: motor_stop
1399324286.345304: executed: start_cameras
1399324289.617495: executed: pan_15500, tilt_14405
1399324289.622073: executed: pan_15425, tilt_14165
1399324289.626620: executed: pan_15139, tilt_13873
1399324289.629214: executed: pan_14895, tilt_13850
1399324289.635622: executed: pan_14793, tilt_13582
1399324289.637362: executed: pan_14184, tilt_13219
1399324289.637514: executed: pan_13658, tilt_12886
1399324289.644076: executed: pan_13022, tilt_12619
1399324289.646059: executed: pan_12761, tilt_12572
1399324289.649508: executed: pan_12675, tilt_12572
1399324289.657351: executed: pan_12588, tilt_12572
1399324289.665315: executed: pan_12544, tilt_12572
1399324289.673311: executed: pan_12370, tilt_12572
1399324289.680360: executed: pan_12327, tilt_12572
1399324289.681978: executed: pan_12153, tilt_12651
1399324289.685426: executed: pan_12022, tilt_12698
1399324289.689546: executed: pan_11805, tilt_12698
1399324289.690858: executed: pan_11805, tilt_12730
1399324289.693086: executed: pan_11674, tilt_12777
1399324289.697206: executed: pan_11544, tilt_12825
1399324289.701722: executed: pan_11327, tilt_12904
1399324289.706452: executed: pan_11153, tilt_12983
1399324289.710084: executed: pan_10892, tilt_13014
1399324289.713075: executed: pan_10762, tilt_13077
1399324289.717378: executed: pan_10588, tilt_13188
1399324289.721253: executed: pan_10370, tilt_13267
1399324289.725373: executed: pan_10240, tilt_13394
1399324289.729584: executed: pan_10109, tilt_13489
1399324289.733307: executed: pan_10000, tilt_13615
1399324289.737183: executed: pan_10000, tilt_13773
1399324289.743470: executed: pan_10000, tilt_13947
1399324289.745179: executed: pan_10000, tilt_14153
1399324289.749207: executed: pan_10000, tilt_14437
1399324289.753296: executed: pan_10000, tilt_14500
1399324289.761475: executed: pan_10000, tilt_14642
1399324289.765228: executed: pan_10000, tilt_14926
1399324289.769592: executed: pan_10000, tilt_15195
1399324289.773193: executed: pan_10000, tilt_15369
1399324289.776977: executed: pan_10000, tilt_15511
1399324289.781189: executed: pan_10000, tilt_15606
1399324289.785217: executed: pan_10153, tilt_15733
1399324289.789581: executed: pan_10370, tilt_15812
1399324289.793273: executed: pan_10544, tilt_15812
1399324289.795562: executed: pan_10544, tilt_15891
1399324289.797302: executed: pan_10675, tilt_15970
1399324289.801299: executed: pan_10892, tilt_16049
1399324289.805084: executed: pan_11109, tilt_16128
1399324289.810485: executed: pan_11327, tilt_16175
1399324289.813171: executed: pan_11544, tilt_16223
1399324289.819366: executed: pan_11761, tilt_16286
1399324289.821288: executed: pan_11935, tilt_16333
1399324289.825408: executed: pan_12240, tilt_16381
1399324289.829497: executed: pan_12457, tilt_16412
1399324289.833312: executed: pan_12761, tilt_16460
1399324289.837188: executed: pan_13109, tilt_16492
1399324289.841826: executed: pan_13370, tilt_16500
1399324289.846465: executed: pan_13675, tilt_16500
1399324289.849181: executed: pan_13935, tilt_16500
1399324289.853056: executed: pan_14327, tilt_16500
1399324289.857176: executed: pan_14718, tilt_16500
1399324289.861174: executed: pan_15109, tilt_16500
1399324289.865202: executed: pan_15500, tilt_16500
1399324289.877684: executed: pan_15749, tilt_16500
1399324289.881712: executed: pan_16176, tilt_16500
1399324289.885282: executed: pan_16460, tilt_16500
1399324289.891081: executed: pan_16887, tilt_16500
1399324289.893186: executed: pan_17172, tilt_16500
1399324289.897184: executed: pan_17492, tilt_16500
1399324289.901334: executed: pan_17776, tilt_16412
1399324289.905210: executed: pan_18132, tilt_16365
1399324289.909299: executed: pan_18310, tilt_16286
1399324289.913694: executed: pan_18595, tilt_16223
1399324289.917295: executed: pan_18844, tilt_16128
1399324289.921201: executed: pan_19021, tilt_16049
1399324289.925351: executed: pan_19270, tilt_15922
1399324289.941464: executed: pan_19377, tilt_15812
1399324289.944516: executed: pan_19555, tilt_15685
1399324289.944669: executed: pan_19662, tilt_15575
1399324289.944699: executed: pan_19804, tilt_15480
1399324289.949734: executed: pan_19982, tilt_15322
1399324289.952084: executed: pan_20000, tilt_15195
1399324289.953488: executed: pan_20000, tilt_15084
1399324289.957211: executed: pan_20000, tilt_14926
1399324289.961087: executed: pan_20000, tilt_14831
1399324289.965115: executed: pan_20000, tilt_14752
1399324289.969174: executed: pan_20000, tilt_14673
1399324289.980313: executed: pan_20000, tilt_14563
1399324289.984310: executed: pan_20000, tilt_14500
1399324290.005306: executed: pan_20000, tilt_14485
1399324290.009212: executed: pan_20000, tilt_14437
1399324290.013027: executed: pan_20000, tilt_14326
1399324290.017086: executed: pan_20000, tilt_14200
1399324290.021053: executed: pan_20000, tilt_14105
1399324290.025295: executed: pan_20000, tilt_14026
1399324290.029048: executed: pan_20000, tilt_13900
1399324290.033321: executed: pan_20000, tilt_13789
1399324290.037501: executed: pan_20000, tilt_13647
1399324290.041560: executed: pan_20000, tilt_13520
1399324290.045100: executed: pan_19840, tilt_13362
1399324290.051295: executed: pan_19662, tilt_13236
1399324290.053370: executed: pan_19448, tilt_13062
1399324290.057551: executed: pan_19128, tilt_12951
1399324290.061061: executed: pan_18772, tilt_12825
1399324290.065180: executed: pan_18381, tilt_12825
1399324290.066737: executed: pan_18381, tilt_12698
1399324290.073969: executed: pan_18061, tilt_12619
1399324290.076350: executed: pan_17527, tilt_12556
1399324290.078211: executed: pan_17065, tilt_12500
1399324290.081080: executed: pan_16531, tilt_12500
1399324290.085566: executed: pan_15998, tilt_12500
1399324290.089228: executed: pan_15500, tilt_12500
1399324290.101374: executed: pan_15022, tilt_12500
1399324290.105188: executed: pan_14544, tilt_12500
1399324290.109186: executed: pan_13935, tilt_12500
1399324290.113184: executed: pan_13544, tilt_12500
1399324290.118677: executed: pan_13109, tilt_12556
1399324290.121301: executed: pan_12588, tilt_12619
1399324290.125238: executed: pan_12153, tilt_12698
1399324290.129449: executed: pan_11805, tilt_12809
1399324290.133447: executed: pan_11588, tilt_12983
1399324290.137811: executed: pan_11327, tilt_13141
1399324290.141351: executed: pan_11195, tilt_13373
1399324290.145044: executed: pan_11150, tilt_13640
1399324290.149133: executed: pan_11097, tilt_13926
1399324290.153863: executed: pan_11071, tilt_14247
1399324290.157189: executed: pan_11095, tilt_14500
1399324290.161065: executed: pan_11036, tilt_14500
1399324290.165185: executed: pan_11010, tilt_14769
1399324290.169213: executed: pan_10806, tilt_15099
1399324290.173089: executed: pan_10588, tilt_15527
1399324290.178460: executed: pan_10544, tilt_15843
1399324290.182335: executed: pan_10544, tilt_15922
1399324290.193108: executed: pan_10544, tilt_15938
1399324290.197808: executed: pan_10762, tilt_16001
1399324290.201378: executed: pan_10805, tilt_16049
1399324290.205284: executed: pan_10935, tilt_16096
1399324290.209221: executed: pan_11153, tilt_16160
1399324290.213158: executed: pan_11327, tilt_16207
1399324290.217430: executed: pan_11544, tilt_16254
1399324290.222191: executed: pan_11674, tilt_16286
1399324290.225303: executed: pan_11805, tilt_16333
1399324290.229179: executed: pan_12022, tilt_16365
1399324290.233085: executed: pan_12240, tilt_16381
1399324290.237754: executed: pan_12457, tilt_16444
1399324290.241477: executed: pan_12761, tilt_16460
1399324290.245231: executed: pan_13022, tilt_16492
1399324290.249961: executed: pan_13327, tilt_16500
1399324290.255546: executed: pan_13587, tilt_16500
1399324290.257194: executed: pan_13805, tilt_16500
1399324290.261466: executed: pan_14022, tilt_16500
1399324290.267814: executed: pan_14370, tilt_16500
1399324290.269370: executed: pan_14718, tilt_16500
1399324290.273337: executed: pan_15109, tilt_16500
1399324290.277091: executed: pan_15500, tilt_16500
1399324290.293234: executed: pan_15820, tilt_16500
1399324290.297232: executed: pan_16176, tilt_16500
1399324290.301566: executed: pan_16602, tilt_16500
1399324290.312491: executed: pan_16887, tilt_16500
1399324290.317587: executed: pan_17172, tilt_16500
1399324290.317770: executed: pan_17492, tilt_16500
1399324290.317801: executed: pan_17776, tilt_16444
1399324290.321310: executed: pan_18061, tilt_16381
1399324290.325369: executed: pan_18239, tilt_16302
1399324290.329214: executed: pan_18595, tilt_16223
1399324290.333395: executed: pan_18844, tilt_16128
1399324290.337606: executed: pan_19021, tilt_16017
1399324290.341451: executed: pan_19270, tilt_15859
1399324290.345663: executed: pan_19484, tilt_15733
1399324290.349172: executed: pan_19626, tilt_15606
1399324290.353170: executed: pan_19804, tilt_15511
1399324290.357839: executed: pan_19911, tilt_15369
1399324290.361440: executed: pan_20000, tilt_15369
1399324290.361745: executed: pan_20000, tilt_15211
1399324290.365590: executed: pan_20000, tilt_15084
1399324290.369344: executed: pan_20000, tilt_14958
1399324290.373403: executed: pan_20000, tilt_14831
1399324290.378041: executed: pan_20000, tilt_14752
1399324290.382924: executed: pan_20000, tilt_14673
