Log file created at 2014-05-01-16:05:28
1398960339.741884: executed: pan_15500, tilt_14500
1398960339.771302: executed: motor_stop
1398960342.933541: executed: start_cameras
1398960345.990007: executed: motor_forward_1
1398960346.279186: executed: motor_stop
1398960347.091642: executed: motor_forward_1
1398960347.950850: executed: motor_stop
1398960348.788268: executed: pan_15500, tilt_14426
1398960348.792296: executed: pan_15500, tilt_14405
1398960348.796416: executed: pan_15500, tilt_14362
1398960348.800048: executed: pan_15500, tilt_14340
1398960348.806395: executed: pan_15500, tilt_14297
1398960348.808348: executed: pan_15500, tilt_14254
1398960348.812071: executed: pan_15500, tilt_14232
1398960348.816191: executed: pan_15500, tilt_14189
1398960348.820311: executed: pan_15500, tilt_14168
1398960348.824156: executed: pan_15500, tilt_14125
1398960348.833189: executed: pan_15500, tilt_14082
1398960348.840635: executed: pan_15500, tilt_14060
1398960348.852415: executed: pan_15500, tilt_14017
1398960348.878202: executed: pan_15500, tilt_13996
1398960348.996547: executed: pan_15500, tilt_13953
1398960349.008296: executed: pan_15500, tilt_13910
1398960349.016139: executed: pan_15500, tilt_13888
1398960349.023982: executed: pan_15500, tilt_13845
1398960349.028437: executed: pan_15500, tilt_13824
1398960349.032313: executed: pan_15500, tilt_13781
1398960349.039332: executed: pan_15500, tilt_13738
1398960349.044306: executed: pan_15500, tilt_13716
1398960349.048396: executed: pan_15500, tilt_13673
1398960349.056544: executed: pan_15500, tilt_13630
1398960349.061030: executed: pan_15500, tilt_13608
1398960349.064173: executed: pan_15500, tilt_13544
1398960349.068415: executed: pan_15500, tilt_13501
1398960349.074152: executed: pan_15500, tilt_13458
1398960349.076288: executed: pan_15500, tilt_13436
1398960349.080561: executed: pan_15500, tilt_13372
1398960349.088403: executed: pan_15500, tilt_13286
1398960349.092340: executed: pan_15500, tilt_13264
1398960349.096338: executed: pan_15500, tilt_13221
1398960349.100275: executed: pan_15500, tilt_13200
1398960349.109186: executed: pan_15500, tilt_13114
1398960349.113885: executed: pan_15500, tilt_13092
1398960349.116143: executed: pan_15500, tilt_13049
1398960349.120324: executed: pan_15500, tilt_12985
1398960349.128747: executed: pan_15500, tilt_12941
1398960349.136407: executed: pan_15500, tilt_12920
1398960349.140832: executed: pan_15500, tilt_12877
1398960349.144555: executed: pan_15500, tilt_12834
1398960349.152367: executed: pan_15500, tilt_12812
1398960349.164513: executed: pan_15500, tilt_12769
1398960349.168389: executed: pan_15500, tilt_12748
1398960349.176262: executed: pan_15500, tilt_12705
1398960349.188408: executed: pan_15500, tilt_12662
1398960349.568650: executed: pan_15500, tilt_12748
1398960349.572526: executed: pan_15500, tilt_12769
1398960349.576341: executed: pan_15500, tilt_12834
1398960349.580460: executed: pan_15500, tilt_12920
1398960349.584275: executed: pan_15500, tilt_12985
1398960349.589066: executed: pan_15500, tilt_13006
1398960349.592179: executed: pan_15500, tilt_13157
1398960349.596177: executed: pan_15500, tilt_13221
1398960349.600174: executed: pan_15500, tilt_13329
1398960349.606125: executed: pan_15500, tilt_13458
1398960349.609055: executed: pan_15500, tilt_13608
1398960349.612290: executed: pan_15500, tilt_13716
1398960349.616287: executed: pan_15500, tilt_13824
1398960349.621018: executed: pan_15500, tilt_13953
1398960349.625504: executed: pan_15500, tilt_14017
1398960349.628281: executed: pan_15500, tilt_14082
1398960349.632492: executed: pan_15500, tilt_14189
1398960349.636337: executed: pan_15500, tilt_14254
1398960349.642563: executed: pan_15500, tilt_14297
1398960349.645187: executed: pan_15500, tilt_14362
1398960349.648666: executed: pan_15500, tilt_14405
1398960349.652816: executed: pan_15500, tilt_14426
1398960349.656570: executed: pan_15500, tilt_14469
1398960349.664169: executed: pan_15500, tilt_14500
1398960350.460664: executed: pan_15522, tilt_14500
1398960350.464143: executed: pan_15667, tilt_14500
1398960350.468141: executed: pan_15861, tilt_14500
1398960350.472382: executed: pan_16103, tilt_14500
1398960350.478821: executed: pan_16151, tilt_14500
1398960350.480469: executed: pan_16345, tilt_14500
1398960350.484040: executed: pan_16490, tilt_14500
1398960350.488373: executed: pan_16635, tilt_14500
1398960350.492524: executed: pan_16732, tilt_14500
1398960350.496186: executed: pan_16877, tilt_14500
1398960350.500336: executed: pan_17071, tilt_14500
1398960350.504395: executed: pan_17119, tilt_14500
1398960350.508148: executed: pan_17313, tilt_14500
1398960350.512238: executed: pan_17361, tilt_14500
1398960350.516357: executed: pan_17458, tilt_14500
1398960350.520172: executed: pan_17555, tilt_14500
1398960350.524780: executed: pan_17603, tilt_14500
1398960350.528168: executed: pan_17700, tilt_14500
1398960350.540374: executed: pan_17797, tilt_14500
1398960350.547332: executed: pan_17845, tilt_14500
1398960350.548858: executed: pan_17942, tilt_14500
1398960350.552246: executed: pan_18039, tilt_14500
1398960350.556884: executed: pan_18088, tilt_14500
1398960350.560363: executed: pan_18184, tilt_14500
1398960350.568114: executed: pan_18281, tilt_14500
1398960350.575927: executed: pan_18330, tilt_14500
1398960350.580687: executed: pan_18426, tilt_14500
1398960350.592162: executed: pan_18523, tilt_14500
1398960350.600157: executed: pan_18572, tilt_14500
1398960350.608397: executed: pan_18668, tilt_14500
1398960350.616240: executed: pan_18765, tilt_14500
1398960350.625242: executed: pan_18814, tilt_14500
1398960350.628294: executed: pan_18910, tilt_14500
1398960350.640257: executed: pan_19007, tilt_14500
1398960350.654417: executed: pan_19056, tilt_14500
1398960350.668271: executed: pan_19153, tilt_14500
1398960350.920129: executed: pan_18910, tilt_14500
1398960350.924798: executed: pan_18814, tilt_14500
1398960350.928307: executed: pan_18668, tilt_14500
1398960350.934289: executed: pan_18572, tilt_14500
1398960350.941124: executed: pan_18426, tilt_14500
1398960350.943139: executed: pan_18281, tilt_14500
1398960350.944573: executed: pan_18039, tilt_14500
1398960350.948387: executed: pan_17700, tilt_14500
1398960350.952416: executed: pan_17458, tilt_14500
1398960350.957115: executed: pan_17071, tilt_14500
1398960350.960381: executed: pan_16490, tilt_14500
1398960350.964378: executed: pan_16006, tilt_14500
1398960350.968254: executed: pan_15500, tilt_14500
1398960351.704295: executed: pan_15474, tilt_14500
1398960351.712260: executed: pan_15355, tilt_14500
1398960351.722086: executed: pan_15178, tilt_14500
1398960351.728281: executed: pan_15060, tilt_14500
1398960351.732859: executed: pan_15000, tilt_14500
1398960351.736490: executed: pan_14882, tilt_14500
1398960351.740152: executed: pan_14823, tilt_14500
1398960351.744242: executed: pan_14704, tilt_14500
1398960351.748362: executed: pan_14586, tilt_14500
1398960351.755014: executed: pan_14409, tilt_14500
1398960351.756998: executed: pan_14290, tilt_14500
1398960351.760111: executed: pan_14231, tilt_14500
1398960351.764475: executed: pan_14113, tilt_14500
1398960351.768625: executed: pan_13994, tilt_14500
1398960351.772501: executed: pan_13817, tilt_14500
1398960351.776285: executed: pan_13758, tilt_14500
1398960351.780465: executed: pan_13640, tilt_14500
1398960351.784128: executed: pan_13521, tilt_14500
1398960351.788217: executed: pan_13462, tilt_14500
1398960351.792337: executed: pan_13344, tilt_14500
1398960351.796304: executed: pan_13225, tilt_14500
1398960351.802896: executed: pan_13166, tilt_14500
1398960351.804238: executed: pan_13048, tilt_14500
1398960351.813912: executed: pan_12930, tilt_14500
1398960351.817147: executed: pan_12870, tilt_14500
1398960351.820107: executed: pan_12752, tilt_14500
1398960351.824624: executed: pan_12634, tilt_14500
1398960351.828103: executed: pan_12456, tilt_14500
1398960351.836617: executed: pan_12397, tilt_14500
1398960351.840309: executed: pan_12279, tilt_14500
1398960351.844124: executed: pan_12160, tilt_14500
1398960351.849770: executed: pan_12101, tilt_14500
1398960351.852242: executed: pan_11983, tilt_14500
1398960351.856544: executed: pan_11864, tilt_14500
1398960351.860237: executed: pan_11805, tilt_14500
1398960351.868355: executed: pan_11687, tilt_14500
1398960351.880714: executed: pan_11569, tilt_14500
1398960351.886360: executed: pan_11509, tilt_14500
1398960351.892738: executed: pan_11391, tilt_14500
1398960351.896613: executed: pan_11273, tilt_14500
1398960351.904914: executed: pan_11214, tilt_14500
1398960351.912421: executed: pan_11095, tilt_14500
1398960351.924140: executed: pan_11036, tilt_14500
1398960352.076298: executed: pan_11391, tilt_14500
1398960352.080418: executed: pan_11569, tilt_14500
1398960352.086887: executed: pan_11687, tilt_14500
1398960352.091160: executed: pan_11805, tilt_14500
1398960352.093021: executed: pan_11983, tilt_14500
1398960352.096378: executed: pan_12160, tilt_14500
1398960352.100772: executed: pan_12279, tilt_14500
1398960352.104282: executed: pan_12456, tilt_14500
1398960352.109836: executed: pan_12634, tilt_14500
1398960352.112094: executed: pan_12930, tilt_14500
1398960352.116153: executed: pan_13166, tilt_14500
1398960352.120120: executed: pan_13344, tilt_14500
1398960352.124271: executed: pan_13640, tilt_14500
1398960352.128299: executed: pan_13994, tilt_14500
1398960352.132297: executed: pan_14290, tilt_14500
1398960352.136172: executed: pan_14704, tilt_14500
1398960352.140353: executed: pan_15474, tilt_14500
1398960352.144259: executed: pan_15500, tilt_14500
1398960352.920369: executed: pan_15500, tilt_14509
1398960352.924123: executed: pan_15500, tilt_14552
1398960352.929250: executed: pan_15500, tilt_14574
1398960352.932088: executed: pan_15500, tilt_14617
1398960352.938527: executed: pan_15500, tilt_14660
1398960352.940236: executed: pan_15500, tilt_14681
1398960352.944233: executed: pan_15500, tilt_14724
1398960352.948780: executed: pan_15500, tilt_14789
1398960352.952290: executed: pan_15500, tilt_14832
1398960352.956593: executed: pan_15500, tilt_14854
1398960352.960285: executed: pan_15500, tilt_14897
1398960352.964405: executed: pan_15500, tilt_14940
1398960352.968250: executed: pan_15500, tilt_14961
1398960352.972340: executed: pan_15500, tilt_15047
1398960352.976154: executed: pan_15500, tilt_15069
1398960352.981006: executed: pan_15500, tilt_15155
1398960352.984455: executed: pan_15500, tilt_15176
1398960352.988239: executed: pan_15500, tilt_15219
1398960352.992145: executed: pan_15500, tilt_15284
1398960352.998157: executed: pan_15500, tilt_15327
1398960353.004749: executed: pan_15500, tilt_15391
1398960353.008228: executed: pan_15500, tilt_15434
1398960353.012470: executed: pan_15500, tilt_15499
1398960353.016498: executed: pan_15500, tilt_15542
1398960353.024158: executed: pan_15500, tilt_15606
1398960353.031268: executed: pan_15500, tilt_15628
1398960353.035266: executed: pan_15500, tilt_15714
1398960353.037158: executed: pan_15500, tilt_15736
1398960353.040240: executed: pan_15500, tilt_15822
1398960353.044390: executed: pan_15500, tilt_15843
1398960353.052691: executed: pan_15500, tilt_15886
1398960353.060290: executed: pan_15500, tilt_15929
1398960353.086718: executed: pan_15500, tilt_15951
1398960353.088457: executed: pan_15564, tilt_15951
1398960353.112291: executed: pan_15629, tilt_15951
1398960353.189682: executed: pan_15626, tilt_15844
1398960353.196457: executed: pan_15624, tilt_15779
1398960353.200027: executed: pan_15620, tilt_15672
1398960353.204269: executed: pan_15615, tilt_15564
1398960353.209579: executed: pan_15612, tilt_15500
1398960353.212204: executed: pan_15607, tilt_15392
1398960353.216262: executed: pan_15601, tilt_15285
1398960353.220108: executed: pan_15594, tilt_15178
1398960353.224136: executed: pan_15583, tilt_15049
1398960353.228134: executed: pan_15573, tilt_14942
1398960353.232559: executed: pan_15564, tilt_14856
1398960353.236709: executed: pan_15549, tilt_14749
1398960353.240462: executed: pan_15527, tilt_14621
1398960353.244338: executed: pan_15503, tilt_14514
1398960353.249740: executed: pan_15500, tilt_14500
1398960353.873935: executed: pan_15522, tilt_14500
1398960353.877262: executed: pan_15565, tilt_14506
1398960353.880344: executed: pan_15657, tilt_14515
1398960353.888401: executed: pan_15704, tilt_14519
1398960353.892124: executed: pan_15797, tilt_14527
1398960353.904788: executed: pan_15805, tilt_14531
1398960353.908267: executed: pan_15898, tilt_14538
1398960353.912265: executed: pan_15945, tilt_14542
1398960353.924106: executed: pan_16039, tilt_14549
1398960353.932070: executed: pan_16147, tilt_14568
1398960353.944094: executed: pan_16194, tilt_14572
1398960353.956484: executed: pan_16302, tilt_14594
1398960353.972384: executed: pan_16395, tilt_14601
1398960353.980104: executed: pan_16449, tilt_14613
1398960353.988466: executed: pan_16542, tilt_14620
1398960353.996492: executed: pan_16649, tilt_14645
1398960354.000246: executed: pan_16696, tilt_14649
1398960354.004213: executed: pan_16789, tilt_14655
1398960354.008119: executed: pan_16882, tilt_14661
1398960354.016206: executed: pan_16942, tilt_14686
1398960354.024446: executed: pan_17035, tilt_14691
