Log file created at 2014-05-01-16:24:04
1398961453.080766: Logging started
1398961453.085130: executed: pan_15500, tilt_14500
1398961453.115098: executed: motor_stop
1398961453.847049: executed: start_cameras
1398961456.294059: executed: pan_15500, tilt_14405
1398961456.298148: executed: pan_15500, tilt_14297
1398961456.301933: executed: pan_15500, tilt_14232
1398961456.305961: executed: pan_15500, tilt_14082
1398961456.310050: executed: pan_15500, tilt_14017
1398961456.314322: executed: pan_15500, tilt_13953
1398961456.317893: executed: pan_15500, tilt_13824
1398961456.322013: executed: pan_15500, tilt_13716
1398961456.325705: executed: pan_15500, tilt_13630
1398961456.330161: executed: pan_15610, tilt_13543
1398961456.333945: executed: pan_15646, tilt_13392
1398961456.337943: executed: pan_15652, tilt_13285
1398961456.342062: executed: pan_15718, tilt_13198
1398961456.347189: executed: pan_15791, tilt_13046
1398961456.349905: executed: pan_15831, tilt_12938
1398961456.353903: executed: pan_15839, tilt_12810
1398961456.360678: executed: pan_15918, tilt_12658
1398961456.362265: executed: pan_15925, tilt_12529
1398961456.365927: executed: pan_15998, tilt_12500
1398961456.369802: executed: pan_16033, tilt_12500
1398961456.463673: executed: pan_16104, tilt_12500
1398961456.650163: executed: pan_16100, tilt_12569
1398961456.654069: executed: pan_16095, tilt_12633
1398961456.658402: executed: pan_16085, tilt_12740
1398961456.662156: executed: pan_16077, tilt_12826
1398961456.667832: executed: pan_16066, tilt_12932
1398961456.670517: executed: pan_16053, tilt_13039
1398961456.674027: executed: pan_16040, tilt_13146
1398961456.677903: executed: pan_15868, tilt_13258
1398961456.682175: executed: pan_15854, tilt_13386
1398961456.685898: executed: pan_15777, tilt_13538
1398961456.690262: executed: pan_15728, tilt_13710
1398961456.698624: executed: pan_15653, tilt_14114
1398961456.702774: executed: pan_15500, tilt_14500
1398961458.014397: executed: pan_15657, tilt_14485
1398961458.017968: executed: pan_15898, tilt_14462
1398961458.022606: executed: pan_16147, tilt_14432
1398961458.025871: executed: pan_16295, tilt_14414
1398961458.031242: executed: pan_16557, tilt_14361
1398961458.034019: executed: pan_16796, tilt_14334
1398961458.037895: executed: pan_17041, tilt_14297
1398961458.041893: executed: pan_17274, tilt_14283
1398961458.046257: executed: pan_17421, tilt_14263
1398961458.049888: executed: pan_17608, tilt_14254
1398961458.053795: executed: pan_17666, tilt_14225
1398961458.058097: executed: pan_17854, tilt_14216
1398961458.062309: executed: pan_17995, tilt_14210
1398961458.065696: executed: pan_18146, tilt_14176
1398961458.069938: executed: pan_18335, tilt_14168
1398961458.073905: executed: pan_18481, tilt_14148
1398961458.077872: executed: pan_18576, tilt_14144
1398961458.082023: executed: pan_18623, tilt_14143
1398961458.085868: executed: pan_18718, tilt_14139
1398961458.089896: executed: pan_18860, tilt_14134
1398961458.093985: executed: pan_18963, tilt_14101
1398961458.098105: executed: pan_19058, tilt_14098
1398961458.102622: executed: pan_19200, tilt_14093
1398961458.106894: executed: pan_19299, tilt_14075
1398961458.111228: executed: pan_19441, tilt_14070
1398961458.113974: executed: pan_19537, tilt_14067
1398961458.118247: executed: pan_19584, tilt_14066
1398961458.122153: executed: pan_19686, tilt_14031
1398961458.125906: executed: pan_19781, tilt_14029
1398961458.131155: executed: pan_19835, tilt_13995
1398961458.133902: executed: pan_19982, tilt_13995
1398961458.137930: executed: pan_20000, tilt_13979
1398961458.141897: executed: pan_20000, tilt_13947
1398961458.145956: executed: pan_20000, tilt_13915
1398961458.150015: executed: pan_20000, tilt_13900
1398961458.162008: executed: pan_20000, tilt_13868
1398961458.205892: executed: pan_20000, tilt_13852
1398961458.218190: executed: pan_20000, tilt_13821
1398961458.282154: executed: pan_20000, tilt_13789
1398961458.426011: executed: pan_20000, tilt_13852
1398961458.434159: executed: pan_20000, tilt_13868
1398961458.442002: executed: pan_19840, tilt_13900
1398961458.449723: executed: pan_19804, tilt_13900
1398961458.453751: executed: pan_19714, tilt_13902
1398961458.457627: executed: pan_19710, tilt_13919
1398961458.461899: executed: pan_19608, tilt_13954
1398961458.465897: executed: pan_19561, tilt_13956
1398961458.475601: executed: pan_19466, tilt_13959
1398961458.479996: executed: pan_19364, tilt_13994
1398961458.482620: executed: pan_19313, tilt_14012
1398961458.485885: executed: pan_19211, tilt_14046
1398961458.490097: executed: pan_19116, tilt_14050
1398961458.494125: executed: pan_19069, tilt_14051
1398961458.497848: executed: pan_18966, tilt_14086
1398961458.501724: executed: pan_18820, tilt_14106
1398961458.505905: executed: pan_18726, tilt_14109
1398961458.514022: executed: pan_18623, tilt_14143
1398961458.516494: executed: pan_18477, tilt_14163
1398961458.518234: executed: pan_18374, tilt_14195
1398961458.521987: executed: pan_18125, tilt_14246
1398961458.525924: executed: pan_17732, tilt_14299
1398961458.543471: executed: pan_17230, tilt_14400
1398961458.544967: executed: pan_16348, tilt_14478
1398961458.545272: executed: pan_15500, tilt_14500
1398961460.706978: executed: stop_cameras
Log file closed at 2014-05-01-16:24:22
