Log file created at 2014-05-02-14:49:29 GMT
1399042176.442725: Logging started
1399042176.447211: Bump switch monitoring active
1399042176.451361: executed: pan_15500, tilt_14500
1399042176.482306: executed: motor_stop
1399042180.466549: Rear bump activated, stopping
1399042181.466715: Rear bump activated, stopping
1399042184.263357: Rear bump activated, stopping
1399042184.911936: Rear bump activated, stopping
1399042185.880699: Rear bump activated, stopping
1399042186.529125: Rear bump activated, stopping
1399042188.982237: Front bump activated, stopping
1399042189.646288: Front bump activated, stopping
1399042221.177561: Rear bump activated, stopping
1399042221.435369: Rear bump activated, stopping
1399042221.669831: Rear bump activated, stopping
1399042221.810331: Rear bump activated, stopping
1399042262.630686: Rear bump activated, stopping
1399042277.161984: Rear bump activated, stopping
1399042282.927416: Rear bump activated, stopping
1399042287.919759: Rear bump activated, stopping
1399042357.779120: Rear bump activated, stopping
1399042358.161956: Rear bump activated, stopping
1399042360.818190: Rear bump activated, stopping
1399042361.646148: Rear bump activated, stopping
1399042362.450882: Rear bump activated, stopping
1399042363.216616: Rear bump activated, stopping
1399044605.615083: Front bump activated, stopping
1399044606.044738: Front bump activated, stopping
1399044673.263594: Front bump activated, stopping
1399044673.451001: Front bump activated, stopping
1399044799.536932: Front bump activated, stopping
1399044800.044619: Front bump activated, stopping
1399044939.099314: Rear bump activated, stopping
1399044939.240701: Front bump activated, stopping
1399044939.380776: Rear bump activated, stopping
1399044939.521400: Front bump activated, stopping
1399044939.662024: Rear bump activated, stopping
1399044939.802648: Front bump activated, stopping
1399044939.943272: Rear bump activated, stopping
1399044940.083896: Front bump activated, stopping
1399044940.232180: Rear bump activated, stopping
1399044940.372957: Front bump activated, stopping
1399044940.513459: Rear bump activated, stopping
1399044940.654205: Front bump activated, stopping
1399044940.794799: Rear bump activated, stopping
1399044940.935484: Front bump activated, stopping
1399044941.076108: Rear bump activated, stopping
1399044941.216732: Front bump activated, stopping
1399044941.357356: Rear bump activated, stopping
1399044941.497981: Front bump activated, stopping
1399044977.591627: Front bump activated, stopping
1399044977.779065: Front bump activated, stopping
1399044986.318196: Front bump activated, stopping
1399044986.654009: Front bump activated, stopping
1399044986.810960: Front bump activated, stopping
1399044989.091646: Front bump activated, stopping
1399044991.615068: Front bump activated, stopping
1399045004.653987: Front bump activated, stopping
1399045005.044762: Front bump activated, stopping
1399045006.974468: Front bump activated, stopping
1399045007.318185: Front bump activated, stopping
1399045007.951024: Front bump activated, stopping
1399045008.255710: Front bump activated, stopping
1399045022.833926: Front bump activated, stopping
1399045023.318053: Front bump activated, stopping
1399045024.013392: Front bump activated, stopping
1399045025.013447: Front bump activated, stopping
1399045025.693191: Front bump activated, stopping
1399045037.365053: Front bump activated, stopping
1399045039.294789: Front bump activated, stopping
1399045040.060378: Front bump activated, stopping
1399045041.201027: Front bump activated, stopping
1399045063.661820: Front bump activated, stopping
1399045063.802597: Front bump activated, stopping
1399045063.943191: Front bump activated, stopping
1399045064.083906: Front bump activated, stopping
1399045080.896237: Front bump activated, stopping
1399045087.240068: Front bump activated, stopping
1399045087.810255: Front bump activated, stopping
1399045088.349467: Front bump activated, stopping
1399045095.896323: Front bump activated, stopping
1399045096.646318: Front bump activated, stopping
1399045099.607115: Front bump activated, stopping
1399046423.474480: Front bump activated, stopping
1399046425.419776: Front bump activated, stopping
1399046425.560370: Front bump activated, stopping
1399046427.786975: Front bump activated, stopping
1399046428.169631: Front bump activated, stopping
1399046428.943032: Front bump activated, stopping
1399046429.896668: Front bump activated, stopping
1399046430.544642: Front bump activated, stopping
1399046501.216536: Front bump activated, stopping
1399050382.107284: Rear bump activated, stopping
1399050383.208836: Rear bump activated, stopping
1399050384.318049: Rear bump activated, stopping
1399050494.630713: Rear bump activated, stopping
1399050494.951001: Rear bump activated, stopping
1399050502.185416: Rear bump activated, stopping
1399050503.029029: Rear bump activated, stopping
1399050513.286936: Rear bump activated, stopping
1399050513.427716: Rear bump activated, stopping
1399050517.107287: Rear bump activated, stopping
1399050520.458849: Rear bump activated, stopping
1399050521.076078: Rear bump activated, stopping
1399050522.482262: Rear bump activated, stopping
1399050523.302406: Rear bump activated, stopping
1399050525.544787: Rear bump activated, stopping
1399050526.208800: Rear bump activated, stopping
1399050616.005697: Rear bump activated, stopping
1399050742.544844: Rear bump activated, stopping
1399050743.513611: Rear bump activated, stopping
1399050804.403973: Rear bump activated, stopping
1399050804.919820: Rear bump activated, stopping
1399050860.777930: Logging completed
Log file closed at 2014-05-02-17:14:20 GMT
